date_number,visiting_order,index,date_start,date_end,department,brigada,address,time_norm,Unnamed: 0,source,id,number,created_at,is_planned,subsidiary,addr_code,addr_type,addr_lon,addr_lat,work_type,onroad_at,inwork_at,finished_at,closed_at,waiting_at,cancelled_at,way_to_base_at,returned_to_base_at,time_to_base,time_at_work,car_number,imei,model
0,0,80562,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,"МО г.Ступино,вблизи ул.Чайковского и приокского переулка к ПЖСК “МД-3”",3.1306666666666674,80562.0,sap,s252ffb2b-705d-417c-b0d9-84a6336f9cec,3746120.0,2022-12-11 09:38:14,True,Юг,3208,РП,38.0479936819563,54.8852016332895,TR,2023-05-11 05:35:22,2023-05-11 05:40:25,2023-05-11 13:32:50,,,,,2023-05-11 13:32:50, ,0 days 07:52:25,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
0,1,120208,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,г.Ступино пер.приокскиймкр.Юго-Западный,0.08333333333333333,120208.0,sap,s05565f71-567a-443b-b4d3-4c44d27577c3,3745232.0,2022-12-11 09:34:10,True,Юг,3954,РП,38.0540069552868,54.881726605305,OTS,2023-05-15 05:52:40,2023-05-15 05:52:58,2023-05-15 06:05:18,,,,,2023-05-15 06:05:18, ,0 days 00:12:20,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
0,2,81990,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,М.О. г.Ступино ул.Андропова д.89,0.28833333333333333,81990.0,sap,sca1e0871-857f-43b0-a0f5-49621aba1510,3745234.0,2022-12-11 09:34:10,True,Юг,633,РП,38.054414,54.887698,OTS,2023-05-05 05:16:32,2023-05-05 05:19:38,2023-05-05 05:58:09,,,,,2023-05-05 05:58:09, ,0 days 00:38:31,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
0,3,79288,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,г.о.Ступино д.Соколова Пустыньо/л МГТУ им.Баумана,0.08333333333333333,79288.0,sap,sf730adcb-99a6-496b-98fb-4df34b945e81,3745231.0,2022-12-11 09:34:10,True,Юг,2192/2,РП,38.0729138326684,54.843251755261,OTS,2023-05-12 05:43:01,2023-05-12 06:01:28,2023-05-12 06:13:32,,,,,2023-05-12 06:13:32, ,0 days 00:12:04,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
0,4,79289,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,"МО Ступинский район,п.Лужники,ООО “Марс“",0.28833333333333333,79289.0,sap,s3c13fee7-1507-4fd4-8890-45155867acf5,3745216.0,2022-12-11 09:34:06,True,Юг,1530,РП,37.960555429574,54.9710346635162,OTS,2023-05-12 06:36:47,2023-05-12 06:36:52,2023-05-12 07:17:15,,,,,2023-05-12 07:17:15, ,0 days 00:40:23,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
0,5,80872,2023-05-02 00:00:00,2023-05-02 00:00:00,Ступинская,Ступинская-Горголя-1,"МО Ступинский район,п.Лужники",3.186833333333333,80872.0,sap,s6641bac9-f147-427c-bae7-9e43712c1bfd,3746121.0,2022-12-11 09:38:14,True,Юг,1663/1,РП,38.0938110024669,54.8428671763,TR,2023-05-02 06:20:26,2023-05-02 07:03:51,2023-05-02 10:14:45,,,,,2023-05-02 10:14:45, ,0 days 03:10:54,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
1,0,80562,2023-05-03 00:00:00,2023-05-03 00:00:00,Ступинская,Ступинская-Горголя-1,"МО г.Ступино,вблизи ул.Чайковского и приокского переулка к ПЖСК “МД-3”",7.883333333333334,80562.0,sap,s252ffb2b-705d-417c-b0d9-84a6336f9cec,3746120.0,2022-12-11 09:38:14,True,Юг,3208,РП,38.0479936819563,54.8852016332895,TR,2023-05-11 05:35:22,2023-05-11 05:40:25,2023-05-11 13:32:50,,,,,2023-05-11 13:32:50, ,0 days 07:52:25,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
2,0,120209,2023-05-04 00:00:00,2023-05-04 00:00:00,Ступинская,Ступинская-Горголя-1,"МО г.Ступино ул.Крылова,вл.14,к.1,ООО ""Вонорус"" производственный корпус",2.1633333333333336,120209.0,sap,s25a98338-b01c-4860-9774-8a3ce46e1d2f,3746584.0,2022-12-11 09:41:06,True,Юг,"4680/1,2",РП,38.0613518388915,54.8989306786447,TO,2023-05-15 10:33:00,2023-05-15 11:01:48,2023-05-15 13:37:16,,,,,2023-05-15 13:37:16, ,0 days 02:35:28,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
2,1,79290,2023-05-04 00:00:00,2023-05-04 00:00:00,Ступинская,Ступинская-Горголя-1,М.О. г.Ступино ул.Фрунзе вл.19,0.35000000000000003,79290.0,sap,s12a6cfea-a3e1-477b-965c-d5c419619fd1,3745225.0,2022-12-11 09:34:08,True,Юг,4870/2,РП,38.0439389068141,54.9087305530397,OTS,2023-05-12 09:59:39,2023-05-12 09:59:53,2023-05-12 10:31:22,,,,,2023-05-12 10:31:22, ,0 days 00:31:29,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
2,2,80676,2023-05-04 00:00:00,2023-05-04 00:00:00,Ступинская,Ступинская-Горголя-1,"г. Ступино, ул. Фрунзе. вл. 19, ШРП №101ООО ""ИТЦ""",5.3165000000000004,80676.0,sap,s4770a784-7ba1-4de2-9c1a-0fdce9265324,3746126.0,2022-12-11 09:38:16,True,Юг,4870/2,РП,38.0444867471036,54.907512199611,TR,2023-05-04 05:35:58,2023-05-04 05:55:41,2023-05-04 10:17:09,,,,,2023-05-04 10:17:09, ,0 days 04:21:28,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
3,0,80301,2023-05-05 00:00:00,2023-05-05 00:00:00,Ступинская,Ступинская-Горголя-1,МО; г. Ступино; ул.Пристанционная,6.066833333333334,80301.0,sap,sc1828a05-36bc-4ee0-a387-e4237c0f9022,3746118.0,2022-12-11 09:38:13,True,Юг,9374,РП,38.0548326144082,54.8909033480042,TR,2023-05-10 08:42:13,2023-05-10 09:17:48,2023-05-10 13:49:43,,,,,2023-05-10 13:49:43, ,0 days 04:31:55,К 835 ЕА 750,352093084209484,ГАЗ-27057 MPZ2G7 (ГРП)
